,x,y,Batch,subtype
TCGA-A2-A0YK-01A-22D-A10A-05,10.069753,1.9423077,Source,Normal-like
TCGA-BH-A208-01A-11D-A161-05,10.81648,2.4440322,Source,Normal-like
TCGA-LL-A441-01A-11D-A244-05,11.159155,2.7048352,Source,Normal-like
TCGA-AO-A0JB-01A-11D-A10P-05,10.239873,1.8202553,Source,Normal-like
TCGA-AC-A2FK-01A-12D-A17Z-05,9.191962,1.3763064,Source,Normal-like
TCGA-C8-A8HR-01A-11D-A36K-05,10.099708,1.8946788,Source,Normal-like
TCGA-LD-A9QF-01A-32D-A41Q-05,11.040264,2.529307,Source,Normal-like
TCGA-EW-A1P1-01A-31D-A14H-05,9.693931,1.6163676,Source,Normal-like
TCGA-BH-A28O-01A-11D-A22B-05,9.207873,1.4034245,Source,Normal-like
TCGA-A2-A1G6-01A-11D-A13K-05,9.21537,1.3729435,Source,Normal-like
TCGA-E2-A108-01A-13D-A10N-05,10.670039,2.2762866,Source,Normal-like
TCGA-BH-A1FU-01A-11D-A14H-05,10.960946,2.3987153,Source,Normal-like
TCGA-A2-A4RY-01A-31D-A268-05,9.217792,1.4095341,Source,Normal-like
TCGA-OL-A5D6-01A-21D-A27Y-05,10.920398,2.428226,Source,Normal-like
TCGA-EW-A1PG-01A-11D-A145-05,9.332187,1.5057619,Source,Normal-like
TCGA-AR-A1AO-01A-11D-A12R-05,11.120138,2.6581235,Source,Normal-like
TCGA-BH-A6R9-01A-21D-A32T-05,10.179717,1.6662607,Source,Normal-like
TCGA-A2-A25A-01A-12D-A16G-05,9.277028,1.456998,Source,Normal-like
TCGA-A1-A0SB-01A-11D-A145-05,10.166039,1.6428232,Source,Normal-like
TCGA-OL-A5RY-01A-21D-A28C-05,10.927398,2.3865192,Source,Normal-like
TCGA-BH-A42U-01A-12D-A244-05,9.236003,1.3638709,Source,Normal-like
TCGA-AR-A2LQ-01A-22D-A18O-05,9.394341,1.5182521,Source,Normal-like
TCGA-OL-A97C-01A-32D-A41Q-05,10.039288,1.8049182,Source,Normal-like
TCGA-AO-A03U-01B-21D-A10N-05,10.291892,1.730304,Source,Normal-like
TCGA-A2-A3XW-01A-11D-A23D-05,9.666421,1.6465024,Source,Normal-like
TCGA-AO-A1KO-01A-31D-A13K-05,9.896893,1.4119074,Source,Normal-like
TCGA-PL-A8LY-01A-11D-A41Q-05,9.796248,1.4327575,Source,Normal-like
TCGA-BH-A8FZ-01A-11D-A357-05,9.464152,1.6147634,Source,Normal-like
TCGA-LL-A73Z-01A-11D-A32T-05,9.8847885,1.8195591,Source,Normal-like
TCGA-D8-A1XW-01A-11D-A14N-05,10.871954,2.452085,Source,Normal-like
TCGA-AR-A2LH-01A-31D-A18O-05,10.524278,2.2016969,Source,Normal-like
TCGA-AC-A3YI-01A-21D-A23D-05,9.201697,1.3848368,Source,Normal-like
TCGA-GM-A2DD-01A-11D-A17Z-05,10.925907,2.4673402,Source,Normal-like
TCGA-EW-A1P7-01A-21D-A145-05,11.132329,2.6763098,Source,Normal-like
TCGA-A8-A08H-01A-21D-A00Y-05,10.139754,1.8112118,Source,Normal-like
TCGA-A2-A0CL-01A-11D-A112-05,11.026929,2.441742,Source,Normal-like
TCGA-AO-A03T-01A-21D-A032-05,10.194148,1.9351752,Source,Normal-like
TCGA-B6-A0RQ-01A-11D-A112-05,9.114376,1.2975563,Source,Normal-like
TCGA-AO-A03R-01A-21D-A032-05,10.110004,1.8632973,Source,Normal-like
