,Batch,Pred_subtype
GSM1712367,GSE69914,LumA
GSM1712370,GSE69914,LumA
GSM1712371,GSE69914,LumA
GSM1712373,GSE69914,LumA
GSM1712374,GSE69914,LumB
GSM1712375,GSE69914,Her2
GSM1712376,GSE69914,LumB
GSM1712377,GSE69914,LumA
GSM1712379,GSE69914,LumA
GSM1712380,GSE69914,LumA
GSM1712381,GSE69914,Normal-like
GSM1712382,GSE69914,LumA
GSM1712384,GSE69914,LumA
GSM1712386,GSE69914,LumA
GSM1712387,GSE69914,Her2
GSM1712388,GSE69914,LumA
GSM1712389,GSE69914,LumB
GSM1712391,GSE69914,Her2
GSM1712393,GSE69914,LumA
GSM1712394,GSE69914,Her2
GSM1712395,GSE69914,LumB
GSM1712396,GSE69914,Normal-like
GSM1712397,GSE69914,LumB
GSM1712399,GSE69914,LumB
GSM1712400,GSE69914,LumA
GSM1712401,GSE69914,LumA
GSM1712402,GSE69914,Basal
GSM1712403,GSE69914,Her2
GSM1712404,GSE69914,Her2
GSM1712406,GSE69914,LumA
GSM1712407,GSE69914,LumA
GSM1712408,GSE69914,Basal
GSM1712409,GSE69914,LumA
GSM1712410,GSE69914,LumB
GSM1712413,GSE69914,LumA
GSM1712414,GSE69914,LumA
GSM1712415,GSE69914,Her2
GSM1712416,GSE69914,LumA
GSM1712417,GSE69914,LumA
GSM1712418,GSE69914,LumA
GSM1712421,GSE69914,LumA
GSM1712422,GSE69914,LumA
GSM1712424,GSE69914,LumA
GSM1712425,GSE69914,LumA
GSM1712426,GSE69914,LumA
GSM1712428,GSE69914,LumA
GSM1712429,GSE69914,Normal-like
GSM1712430,GSE69914,Normal-like
GSM1712431,GSE69914,LumA
GSM1712432,GSE69914,LumA
GSM1712433,GSE69914,LumA
GSM1712434,GSE69914,LumA
GSM1712437,GSE69914,Basal
GSM1712438,GSE69914,LumA
GSM1712441,GSE69914,Basal
GSM1712443,GSE69914,LumA
GSM1712444,GSE69914,LumB
GSM1712445,GSE69914,LumB
GSM1712446,GSE69914,LumA
GSM1712447,GSE69914,Normal-like
GSM1712448,GSE69914,LumA
GSM1712451,GSE69914,LumA
GSM1712452,GSE69914,Basal
GSM1712453,GSE69914,Normal-like
GSM1712454,GSE69914,LumA
GSM1712455,GSE69914,Normal-like
GSM1712456,GSE69914,Normal-like
GSM1712458,GSE69914,Basal
GSM1712459,GSE69914,Her2
GSM1712460,GSE69914,Her2
GSM1712461,GSE69914,LumB
GSM1712462,GSE69914,Her2
GSM1712463,GSE69914,LumA
GSM1712465,GSE69914,LumA
GSM1712467,GSE69914,LumA
GSM1712468,GSE69914,LumA
GSM1712469,GSE69914,LumB
GSM1712470,GSE69914,LumA
GSM1712471,GSE69914,LumA
GSM1712474,GSE69914,Normal-like
GSM1712477,GSE69914,LumA
GSM1712478,GSE69914,LumB
GSM1712479,GSE69914,LumA
GSM1712480,GSE69914,LumA
GSM1712481,GSE69914,Normal-like
GSM1712482,GSE69914,LumB
GSM1712483,GSE69914,LumA
GSM1712484,GSE69914,Normal-like
GSM1712485,GSE69914,LumB
GSM1712486,GSE69914,LumA
GSM1712488,GSE69914,LumA
GSM1712491,GSE69914,LumA
GSM1712492,GSE69914,LumA
GSM1712493,GSE69914,LumA
GSM1712494,GSE69914,LumA
GSM1712495,GSE69914,LumA
GSM1712496,GSE69914,LumA
GSM1712497,GSE69914,LumA
GSM1712498,GSE69914,Normal-like
GSM1712499,GSE69914,LumA
GSM1712501,GSE69914,LumA
GSM1712502,GSE69914,LumB
