,x,y,Batch,subtype
TCGA-A2-A0YK-01A-22D-A10A-05,6.806636,2.4233766,Source,Normal-like
TCGA-BH-A208-01A-11D-A161-05,5.5185676,-0.43321353,Source,Normal-like
TCGA-LL-A441-01A-11D-A244-05,10.226989,2.509607,Source,Normal-like
TCGA-AO-A0JB-01A-11D-A10P-05,5.056551,-0.31445548,Source,Normal-like
TCGA-AC-A2FK-01A-12D-A17Z-05,7.6626315,-0.43978912,Source,Normal-like
TCGA-C8-A8HR-01A-11D-A36K-05,7.1463656,0.37153217,Source,Normal-like
TCGA-LD-A9QF-01A-32D-A41Q-05,8.638078,2.9737077,Source,Normal-like
TCGA-EW-A1P1-01A-31D-A14H-05,7.825786,1.1566098,Source,Normal-like
TCGA-BH-A28O-01A-11D-A22B-05,7.5264883,-0.43069574,Source,Normal-like
TCGA-A2-A1G6-01A-11D-A13K-05,7.6412654,-0.51247805,Source,Normal-like
TCGA-E2-A108-01A-13D-A10N-05,8.647621,2.2888067,Source,Normal-like
TCGA-BH-A1FU-01A-11D-A14H-05,8.528027,2.2458143,Source,Normal-like
TCGA-A2-A4RY-01A-31D-A268-05,6.8458943,1.0219179,Source,Normal-like
TCGA-OL-A5D6-01A-21D-A27Y-05,7.1898155,3.9761925,Source,Normal-like
TCGA-EW-A1PG-01A-11D-A145-05,6.507944,0.49232426,Source,Normal-like
TCGA-AR-A1AO-01A-11D-A12R-05,9.966203,1.5971019,Source,Normal-like
TCGA-BH-A6R9-01A-21D-A32T-05,7.9104414,0.8260226,Source,Normal-like
TCGA-A2-A25A-01A-12D-A16G-05,5.4416294,2.4740274,Source,Normal-like
TCGA-A1-A0SB-01A-11D-A145-05,7.773167,-0.49171463,Source,Normal-like
TCGA-OL-A5RY-01A-21D-A28C-05,8.580546,2.8714454,Source,Normal-like
TCGA-BH-A42U-01A-12D-A244-05,7.167883,0.47226635,Source,Normal-like
TCGA-AR-A2LQ-01A-22D-A18O-05,7.3029065,0.6782704,Source,Normal-like
TCGA-OL-A97C-01A-32D-A41Q-05,7.833729,-0.30321062,Source,Normal-like
TCGA-AO-A03U-01B-21D-A10N-05,9.641243,1.0036108,Source,Normal-like
TCGA-A2-A3XW-01A-11D-A23D-05,7.5078087,-0.038430955,Source,Normal-like
TCGA-AO-A1KO-01A-31D-A13K-05,7.906738,-0.4369565,Source,Normal-like
TCGA-PL-A8LY-01A-11D-A41Q-05,7.729712,-0.46420518,Source,Normal-like
TCGA-BH-A8FZ-01A-11D-A357-05,7.096557,0.34165683,Source,Normal-like
TCGA-LL-A73Z-01A-11D-A32T-05,7.1187596,0.6283883,Source,Normal-like
TCGA-D8-A1XW-01A-11D-A14N-05,10.958849,0.8628404,Source,Normal-like
TCGA-AR-A2LH-01A-31D-A18O-05,7.663422,2.4730968,Source,Normal-like
TCGA-AC-A3YI-01A-21D-A23D-05,7.271849,0.67499995,Source,Normal-like
TCGA-GM-A2DD-01A-11D-A17Z-05,7.4988027,3.3953326,Source,Normal-like
TCGA-EW-A1P7-01A-21D-A145-05,9.97231,1.9733926,Source,Normal-like
TCGA-A8-A08H-01A-21D-A00Y-05,9.643851,1.6587232,Source,Normal-like
TCGA-A2-A0CL-01A-11D-A112-05,9.488499,1.9583399,Source,Normal-like
TCGA-AO-A03T-01A-21D-A032-05,5.0753584,-0.48298126,Source,Normal-like
