,0,1,Batch,Pred_subtype,Original_subtype
TCGA-A2-A0YK-01A-22D-A10A-05,4.612813,-1.0989062,Source,Cluster 2,Normal-like
TCGA-BH-A208-01A-11D-A161-05,8.632606,-5.645577,Source,Cluster 4,Normal-like
TCGA-LL-A441-01A-11D-A244-05,7.1385775,-1.929847,Source,Cluster 2,Normal-like
TCGA-AO-A0JB-01A-11D-A10P-05,8.707966,-5.225661,Source,Cluster 4,Normal-like
TCGA-AC-A2FK-01A-12D-A17Z-05,6.107352,-0.9224875,Source,Cluster 2,Normal-like
TCGA-C8-A8HR-01A-11D-A36K-05,6.164661,-0.99344003,Source,Cluster 2,Normal-like
TCGA-LD-A9QF-01A-32D-A41Q-05,4.7817883,-0.7983385,Source,Cluster 2,Normal-like
TCGA-EW-A1P1-01A-31D-A14H-05,5.339972,-1.0131106,Source,Cluster 2,Normal-like
TCGA-BH-A28O-01A-11D-A22B-05,6.5797434,-1.2034401,Source,Cluster 2,Normal-like
TCGA-A2-A1G6-01A-11D-A13K-05,6.7185946,-1.1687503,Source,Cluster 2,Normal-like
TCGA-E2-A108-01A-13D-A10N-05,4.8648243,-0.85726655,Source,Cluster 2,Normal-like
TCGA-BH-A1FU-01A-11D-A14H-05,5.3264933,-1.3383837,Source,Cluster 2,Normal-like
TCGA-A2-A4RY-01A-31D-A268-05,4.0241094,-1.185158,Source,Cluster 2,Normal-like
TCGA-OL-A5D6-01A-21D-A27Y-05,3.564394,-1.277785,Source,Cluster 2,Normal-like
TCGA-EW-A1PG-01A-11D-A145-05,5.4336066,-0.7671815,Source,Cluster 2,Normal-like
TCGA-AR-A1AO-01A-11D-A12R-05,7.1799097,-1.5400702,Source,Cluster 2,Normal-like
TCGA-BH-A6R9-01A-21D-A32T-05,5.3856206,-0.8022407,Source,Cluster 2,Normal-like
TCGA-A2-A25A-01A-12D-A16G-05,3.740366,-1.3135384,Source,Cluster 2,Normal-like
TCGA-A1-A0SB-01A-11D-A145-05,7.9962044,-5.249873,Source,Cluster 4,Normal-like
TCGA-OL-A5RY-01A-21D-A28C-05,5.350619,-0.8199534,Source,Cluster 2,Normal-like
TCGA-BH-A42U-01A-12D-A244-05,5.5926213,-0.6733623,Source,Cluster 2,Normal-like
TCGA-AR-A2LQ-01A-22D-A18O-05,4.7775774,-0.81638503,Source,Cluster 2,Normal-like
TCGA-OL-A97C-01A-32D-A41Q-05,7.2048497,-1.4509848,Source,Cluster 2,Normal-like
TCGA-AO-A03U-01B-21D-A10N-05,7.2143307,-1.5600053,Source,Cluster 2,Normal-like
TCGA-A2-A3XW-01A-11D-A23D-05,5.3653502,-0.8239156,Source,Cluster 2,Normal-like
TCGA-AO-A1KO-01A-31D-A13K-05,7.116661,-1.9447935,Source,Cluster 2,Normal-like
TCGA-PL-A8LY-01A-11D-A41Q-05,7.1870294,-1.5080009,Source,Cluster 2,Normal-like
TCGA-BH-A8FZ-01A-11D-A357-05,4.9828715,-0.85848993,Source,Cluster 2,Normal-like
TCGA-LL-A73Z-01A-11D-A32T-05,4.4601445,-1.2018036,Source,Cluster 2,Normal-like
TCGA-D8-A1XW-01A-11D-A14N-05,8.430756,-5.9325824,Source,Cluster 4,Normal-like
TCGA-AR-A2LH-01A-31D-A18O-05,4.841917,-0.80091727,Source,Cluster 2,Normal-like
TCGA-AC-A3YI-01A-21D-A23D-05,5.0341988,-0.83761805,Source,Cluster 2,Normal-like
TCGA-GM-A2DD-01A-11D-A17Z-05,4.774859,-0.9781161,Source,Cluster 2,Normal-like
TCGA-EW-A1P7-01A-21D-A145-05,7.1247005,-1.4823164,Source,Cluster 2,Normal-like
TCGA-A8-A08H-01A-21D-A00Y-05,8.251424,2.602476,Source,Cluster 5,Normal-like
TCGA-A2-A0CL-01A-11D-A112-05,6.389594,-1.4807825,Source,Cluster 2,Normal-like
TCGA-AO-A03T-01A-21D-A032-05,8.019672,2.4307775,Source,Cluster 5,Normal-like
TCGA-B6-A0RQ-01A-11D-A112-05,6.7904663,4.0858245,Source,Cluster 5,Normal-like
TCGA-AO-A03R-01A-21D-A032-05,6.841683,4.018368,Source,Cluster 5,Normal-like
TCGA-A2-A0CZ-01A-11D-A032-05,6.0733714,-1.4345329,Source,Cluster 2,Normal-like
TCGA-E2-A1IH-01A-11D-A13K-05,-1.912691,4.037829,Source,Cluster 3,LumA
TCGA-AO-A0JI-01A-21D-A10P-05,-11.216705,-0.395112,Source,Cluster 1,LumA
TCGA-LL-A740-01A-21D-A32T-05,-9.613579,2.0038974,Source,Cluster 1,LumA
TCGA-BH-A1EO-01A-11D-A138-05,-8.63363,2.1890106,Source,Cluster 1,LumA
TCGA-D8-A27G-01A-11D-A16G-05,-9.217959,2.6232178,Source,Cluster 1,LumA
TCGA-D8-A73U-01A-11D-A33F-05,6.2265253,2.9030073,Source,Cluster 5,LumA
TCGA-E9-A3X8-01A-31D-A230-05,0.6198989,3.948668,Source,Cluster 3,LumA
TCGA-AC-A3HN-01A-11D-A212-05,-1.0583518,4.1075196,Source,Cluster 3,LumA
TCGA-GM-A2DK-01A-21D-A17Z-05,0.4527042,4.63515,Source,Cluster 3,LumA
TCGA-AO-A0JG-01A-31D-A10P-05,-1.6004152,5.3461823,Source,Cluster 3,LumA
TCGA-AR-A5QM-01A-11D-A27Y-05,-8.78038,2.3139215,Source,Cluster 1,LumA
TCGA-A2-A0EU-01A-22D-A10P-05,4.8794875,4.5770044,Source,Cluster 5,LumA
TCGA-BH-A0GZ-01A-11D-A10P-05,-8.680683,1.6134422,Source,Cluster 1,LumA
TCGA-AC-A3TN-01A-11D-A22B-05,-8.510311,1.8745873,Source,Cluster 1,LumA
TCGA-D8-A1JN-01A-11D-A13K-05,-9.17567,2.4184623,Source,Cluster 1,LumA
TCGA-BH-A2L8-01A-11D-A18O-05,-1.509286,3.7211754,Source,Cluster 3,LumA
TCGA-OL-A6VQ-01A-12D-A41Q-05,-3.1020896,3.2602427,Source,Cluster 3,LumA
TCGA-B6-A401-01A-11D-A23D-05,0.1551616,4.5256634,Source,Cluster 3,LumA
TCGA-BH-A1EY-01A-11D-A13K-05,-3.0485294,3.4009337,Source,Cluster 3,LumA
TCGA-AN-A0XT-01A-11D-A10A-05,8.747181,2.8246067,Source,Cluster 5,LumA
TCGA-BH-A0BJ-01A-11D-A10P-05,5.4666014,3.4322836,Source,Cluster 5,LumA
TCGA-E2-A3DX-01A-21D-A212-05,6.0790467,2.631308,Source,Cluster 5,LumA
TCGA-MS-A51U-01A-31D-A268-05,1.5692486,3.2660165,Source,Cluster 3,LumA
TCGA-E2-A1BC-01A-11D-A12R-05,-1.1026843,4.416968,Source,Cluster 3,LumA
TCGA-BH-A0W5-01A-11D-A10A-05,0.578617,4.573865,Source,Cluster 3,LumA
TCGA-AC-A6NO-01A-12D-A33F-05,6.1941977,3.3031054,Source,Cluster 5,LumA
TCGA-GM-A2DI-01A-31D-A18O-05,5.9803243,2.4301808,Source,Cluster 5,LumA
TCGA-BH-A1FL-01A-11D-A13K-05,-4.392251,4.0458965,Source,Cluster 3,LumA
TCGA-D8-A1JB-01A-11D-A13K-05,1.4916521,3.2985947,Source,Cluster 3,LumA
TCGA-BH-A0DI-01A-21D-A12R-05,-2.9230585,3.1618507,Source,Cluster 3,LumA
TCGA-BH-A1FE-01A-11D-A13K-05,0.94803923,3.5050578,Source,Cluster 3,LumA
TCGA-A7-A26E-01B-06D-A27B-05,-9.114458,1.3069328,Source,Cluster 1,LumA
TCGA-BH-AB28-01A-31D-A41Q-05,-10.296495,0.47772074,Source,Cluster 1,LumA
TCGA-D8-A27V-01A-12D-A17F-05,6.1066446,2.5309649,Source,Cluster 5,LumA
TCGA-A7-A4SB-01A-21D-A268-05,5.374083,4.4828653,Source,Cluster 5,LumA
