,x,y,Batch,subtype
TCGA-A2-A0YK-01A-22D-A10A-05,3.1480575,0.26617026,Source,Normal-like
TCGA-BH-A208-01A-11D-A161-05,-0.52468187,-0.648248,Source,Normal-like
TCGA-LL-A441-01A-11D-A244-05,-0.13097732,0.96255803,Source,Normal-like
TCGA-AO-A0JB-01A-11D-A10P-05,4.6409864,-2.806017,Source,Normal-like
TCGA-AC-A2FK-01A-12D-A17Z-05,1.718059,-2.4065697,Source,Normal-like
TCGA-C8-A8HR-01A-11D-A36K-05,2.563613,-1.4655793,Source,Normal-like
TCGA-LD-A9QF-01A-32D-A41Q-05,1.6033463,1.1425822,Source,Normal-like
TCGA-EW-A1P1-01A-31D-A14H-05,1.9136356,-0.43255517,Source,Normal-like
TCGA-BH-A28O-01A-11D-A22B-05,1.9101676,-2.3280346,Source,Normal-like
TCGA-A2-A1G6-01A-11D-A13K-05,1.6534399,-2.3356116,Source,Normal-like
TCGA-E2-A108-01A-13D-A10N-05,1.4376459,0.4680208,Source,Normal-like
TCGA-BH-A1FU-01A-11D-A14H-05,1.5403413,0.44693932,Source,Normal-like
TCGA-A2-A4RY-01A-31D-A268-05,2.7167578,-1.0245991,Source,Normal-like
TCGA-OL-A5D6-01A-21D-A27Y-05,3.1761637,1.7681172,Source,Normal-like
TCGA-EW-A1PG-01A-11D-A145-05,2.9373426,-1.7171818,Source,Normal-like
TCGA-AR-A1AO-01A-11D-A12R-05,0.21224874,-0.020966096,Source,Normal-like
TCGA-BH-A6R9-01A-21D-A32T-05,1.6493818,-0.9129389,Source,Normal-like
TCGA-A2-A25A-01A-12D-A16G-05,4.821613,0.3418349,Source,Normal-like
TCGA-A1-A0SB-01A-11D-A145-05,1.6342281,-2.3915162,Source,Normal-like
TCGA-OL-A5RY-01A-21D-A28C-05,1.5044327,1.0709567,Source,Normal-like
TCGA-BH-A42U-01A-12D-A244-05,2.3703601,-1.5285546,Source,Normal-like
TCGA-AR-A2LQ-01A-22D-A18O-05,2.594986,-1.1648453,Source,Normal-like
TCGA-OL-A97C-01A-32D-A41Q-05,1.5424646,-2.1051419,Source,Normal-like
TCGA-AO-A03U-01B-21D-A10N-05,0.21187533,-0.5392267,Source,Normal-like
TCGA-A2-A3XW-01A-11D-A23D-05,1.9564899,-1.9737812,Source,Normal-like
TCGA-AO-A1KO-01A-31D-A13K-05,1.5924336,-2.3608646,Source,Normal-like
TCGA-PL-A8LY-01A-11D-A41Q-05,1.7367034,-2.412073,Source,Normal-like
TCGA-BH-A8FZ-01A-11D-A357-05,2.4645922,-1.4959842,Source,Normal-like
TCGA-LL-A73Z-01A-11D-A32T-05,2.5008097,-1.3172811,Source,Normal-like
TCGA-D8-A1XW-01A-11D-A14N-05,-1.0123496,-0.70236254,Source,Normal-like
TCGA-AR-A2LH-01A-31D-A18O-05,2.3634956,0.49566868,Source,Normal-like
TCGA-AC-A3YI-01A-21D-A23D-05,2.5752287,-1.3054125,Source,Normal-like
TCGA-GM-A2DD-01A-11D-A17Z-05,2.7365608,1.3739339,Source,Normal-like
TCGA-EW-A1P7-01A-21D-A145-05,0.19229794,0.3459496,Source,Normal-like
TCGA-A8-A08H-01A-21D-A00Y-05,0.36365524,0.07795413,Source,Normal-like
TCGA-A2-A0CL-01A-11D-A112-05,0.6954386,0.4085623,Source,Normal-like
TCGA-AO-A03T-01A-21D-A032-05,4.2818565,-2.9210417,Source,Normal-like
TCGA-B6-A0RQ-01A-11D-A112-05,2.0919595,-2.6629934,Source,Normal-like
TCGA-AO-A03R-01A-21D-A032-05,4.3069987,-3.2769568,Source,Normal-like
TCGA-A2-A0CZ-01A-11D-A032-05,2.5870094,-2.770996,Source,Normal-like
TCGA-E2-A1IH-01A-11D-A13K-05,3.488619,-0.12260985,Source,LumA
TCGA-AO-A0JI-01A-21D-A10P-05,5.7165375,2.8259914,Source,LumA
TCGA-LL-A740-01A-21D-A32T-05,3.1208346,1.782374,Source,LumA
TCGA-BH-A1EO-01A-11D-A138-05,5.2003,0.9864439,Source,LumA
TCGA-D8-A27G-01A-11D-A16G-05,6.1589947,1.5958368,Source,LumA
TCGA-D8-A73U-01A-11D-A33F-05,3.9635038,-1.0967008,Source,LumA
TCGA-E9-A3X8-01A-31D-A230-05,3.1260264,-0.7258192,Source,LumA
TCGA-AC-A3HN-01A-11D-A212-05,2.8988113,-1.1034703,Source,LumA
TCGA-GM-A2DK-01A-21D-A17Z-05,3.435164,-0.021395883,Source,LumA
TCGA-AO-A0JG-01A-31D-A10P-05,4.6825404,-0.22144887,Source,LumA
TCGA-AR-A5QM-01A-11D-A27Y-05,5.6005015,1.5790708,Source,LumA
TCGA-A2-A0EU-01A-22D-A10P-05,4.453457,-2.4882302,Source,LumA
TCGA-BH-A0GZ-01A-11D-A10P-05,4.5525646,1.5440018,Source,LumA
TCGA-AC-A3TN-01A-11D-A22B-05,4.7764077,0.10175766,Source,LumA
TCGA-D8-A1JN-01A-11D-A13K-05,5.652407,0.5684818,Source,LumA
TCGA-BH-A2L8-01A-11D-A18O-05,3.2350602,0.16456954,Source,LumA
TCGA-OL-A6VQ-01A-12D-A41Q-05,4.170481,-0.3672947,Source,LumA
TCGA-B6-A401-01A-11D-A23D-05,3.8226135,0.020805942,Source,LumA
TCGA-BH-A1EY-01A-11D-A13K-05,4.0516872,1.2069974,Source,LumA
TCGA-AN-A0XT-01A-11D-A10A-05,4.157774,-2.920692,Source,LumA
TCGA-BH-A0BJ-01A-11D-A10P-05,2.690766,-1.6920848,Source,LumA
TCGA-E2-A3DX-01A-21D-A212-05,3.019139,-1.4432917,Source,LumA
TCGA-MS-A51U-01A-31D-A268-05,3.2379992,-1.248324,Source,LumA
TCGA-E2-A1BC-01A-11D-A12R-05,4.1889944,-0.49103442,Source,LumA
TCGA-BH-A0W5-01A-11D-A10A-05,2.8923926,-0.74682283,Source,LumA
TCGA-AC-A6NO-01A-12D-A33F-05,4.3607936,-2.281111,Source,LumA
TCGA-GM-A2DI-01A-31D-A18O-05,1.5453866,0.33688644,Source,LumA
TCGA-BH-A1FL-01A-11D-A13K-05,4.505334,-0.2679809,Source,LumA
