cluster,CHR,Position,Strand,UCSC_RefGene_Name,Genome_Build,CpG
0,3,170746029,+,SLC2A2,GRCh37,cg03699904
1,18,59560394,+,RNF152,GRCh37,cg07980518
1,9,82186806,+,TLE4,GRCh37,cg18689253
1,20,42296114,-,MYBL2,GRCh37,cg09604203
1,17,1082526,+,ABR;ABR,GRCh37,cg19816938
1,8,109261215,-,EIF3E,GRCh37,cg06987504
1,2,27008380,+,CENPA;CENPA,GRCh37,cg21360828
1,15,75018674,-,CYP1A1,GRCh37,cg19817399
1,4,7940375,-,AFAP1;AFAP1,GRCh37,cg18619267
1,20,60943241,-,LAMA5,GRCh37,cg09831553
1,1,226497589,-,LIN9,GRCh37,cg26199493
1,7,157129166,-,DNAJB6;DNAJB6,GRCh37,cg11695266
1,10,77161525,+,C10orf41;ZNF503,GRCh37,cg04922833
1,7,26904470,+,SKAP2,GRCh37,cg01957330
1,1,245028194,-,HNRNPU;HNRNPU,GRCh37,cg09998519
1,10,17659726,-,PTPLA,GRCh37,cg23868119
1,12,107349093,+,C12orf23,GRCh37,cg26297688
1,17,48350498,-,TMEM92;TMEM92,GRCh37,cg07231132
1,20,19192675,-,SLC24A3,GRCh37,cg01557989
1,14,36789985,-,MBIP;MBIP,GRCh37,cg21443584
1,7,100034410,-,C7orf47,GRCh37,cg15547534
1,8,63998164,-,TTPA,GRCh37,cg23602533
1,2,145277659,-,ZEB2;ZEB2;ZEB2;ZEB2;ZEB2,GRCh37,cg07246225
1,3,62305147,-,C3orf14,GRCh37,cg22751696
1,2,45168819,+,SIX3,GRCh37,cg26491213
1,1,41327924,+,CITED4;CITED4,GRCh37,cg22748573
1,2,84743445,+,DNAH6,GRCh37,cg18289156
1,7,138794752,+,ZC3HAV1;ZC3HAV1,GRCh37,cg08222662
1,19,53636309,+,ZNF415;ZNF415;ZNF415;ZNF415,GRCh37,cg24892510
1,14,73602923,+,PSEN1;PSEN1,GRCh37,cg11490446
1,11,911673,-,CHID1;CHID1;CHID1;CHID1;CHID1,GRCh37,cg15659828
1,2,175869653,-,CHN1;CHN1;CHN1,GRCh37,cg18440474
1,5,140855463,-,PCDHGA4;PCDHGA12;PCDHGA11;PCDHGA11;PCDHGA9;PCDHGA1;PCDHGB1;PCDHGC3;PCDHGB6;PCDHGB3;PCDHGB7;PCDHGC3;PCDHGA6;PCDHGA8;PCDHGA10;PCDHGA5;PCDHGB4;PCDHGA3;PCDHGC3;PCDHGA2;PCDHGA7;PCDHGB2;PCDHGB5,GRCh37,cg02780295
1,11,9685299,-,SWAP70,GRCh37,cg15044073
1,12,133463694,-,CHFR;CHFR;CHFR;CHFR;CHFR,GRCh37,cg00338702
1,2,235860118,-,SH3BP4,GRCh37,cg14061619
1,4,83720240,-,SCD5;SCD5,GRCh37,cg20947775
1,5,14581642,-,FAM105A,GRCh37,cg23639989
1,11,128775026,-,C11orf45;KCNJ5,GRCh37,cg19310430
1,16,11349308,-,SOCS1,GRCh37,cg01717706
1,11,3663372,-,ART5;ART5;ART5,GRCh37,cg12297221
1,17,33700230,+,SLFN11;SLFN11;SLFN11;SLFN11;SLFN11,GRCh37,cg08764758
1,3,182510901,+,ATP11B,GRCh37,cg02528468
1,19,495737,+,MADCAM1;MADCAM1,GRCh37,cg14045283
1,8,86375450,+,CA2,GRCh37,cg08872550
1,9,136344026,+,SLC2A6;SLC2A6,GRCh37,cg25512587
1,13,20531619,-,ZMYM2;ZMYM2,GRCh37,cg20880234
1,9,120466493,-,TLR4;TLR4;TLR4;TLR4,GRCh37,cg02515422
1,1,161994277,+,OLFML2B,GRCh37,cg19130550
1,2,11810365,-,NTSR2,GRCh37,cg25657834
1,4,10118984,+,WDR1;WDR1,GRCh37,cg05927159
1,20,32031951,-,SNTA1,GRCh37,cg14594876
1,1,174992744,-,MRPS14,GRCh37,cg21076470
1,16,2770866,-,PRSS27,GRCh37,cg20797766
1,19,9649470,-,ZNF426,GRCh37,cg12104707
1,5,151138551,-,ATOX1,GRCh37,cg06746171
1,5,54529368,-,CCNO;CCNO,GRCh37,cg08514736
1,12,76953136,+,OSBPL8;OSBPL8,GRCh37,cg23262918
1,11,75141815,+,KLHL35,GRCh37,cg12001148
1,19,54618544,+,PRPF31;TFPT,GRCh37,cg06815666
1,6,26027531,+,HIST1H4B,GRCh37,cg05471775
1,17,70116681,-,SOX9,GRCh37,cg02788090
1,1,155176951,+,THBS3,GRCh37,cg25912717
1,19,50879437,+,NR1H2,GRCh37,cg00336605
1,8,143859143,+,LYNX1;LYNX1;LYNX1;LYNX1,GRCh37,cg24046110
1,20,54933689,+,C20orf108,GRCh37,cg15713086
1,20,3776303,-,CDC25B;CDC25B;CDC25B,GRCh37,cg08770869
1,17,40574819,+,PTRF,GRCh37,cg13353683
1,1,1850414,-,TMEM52,GRCh37,cg10943191
1,12,109747306,-,FOXN4,GRCh37,cg27144395
1,17,73976089,-,ACOX1;ACOX1;C17orf106,GRCh37,cg16419345
