IlmnID,CHR,Position,Strand,UCSC_RefGene_Name,Genome_Build
cg00035864,Y,8553009,+,TTTY18,GRCh37
cg00050873,Y,9363356,-,TSPY4;FAM197Y2,GRCh37
cg00061679,Y,25314171,-,DAZ1;DAZ4;DAZ4,GRCh37
cg00063477,Y,22741795,+,EIF1AY,GRCh37
cg00121626,Y,21664296,-,BCORL2,GRCh37
cg00212031,Y,21239348,-,TTTY14,GRCh37
cg00213748,Y,8148233,-,,GRCh37
cg00214611,Y,15815688,-,TMSB4Y;TMSB4Y,GRCh37
cg00223952,Y,4868996,-,PCDH11Y,GRCh37
cg00243321,Y,6133740,+,,GRCh37
cg00271873,Y,14649908,-,,GRCh37
cg00272582,Y,2802965,-,ZFY;ZFY;ZFY,GRCh37
cg00308367,Y,21868532,-,KDM5D;KDM5D;KDM5D,GRCh37
cg00311963,Y,9747781,+,LOC100101121;TTTY23,GRCh37
cg00335297,Y,24454527,-,RBMY1F;RBMY2FP,GRCh37
cg00455876,Y,9385539,-,,GRCh37
cg00479827,Y,21036986,-,NCRNA00185,GRCh37
cg00543493,Y,9342875,-,TSPY4,GRCh37
cg00576139,Y,6312218,-,LOC100101115;TTTY21,GRCh37
cg00599377,Y,9745678,+,,GRCh37
cg00639218,Y,14096487,+,,GRCh37
cg00676506,Y,22917913,+,RPS4Y2,GRCh37
cg00679624,Y,17568445,+,,GRCh37
cg00762184,Y,14774526,+,TTTY15,GRCh37
cg00789540,Y,9706621,-,,GRCh37
cg00876332,Y,21664717,+,BCORL2,GRCh37
cg00903245,Y,9321293,+,TSPY4;FAM197Y2,GRCh37
cg00975375,Y,6173766,+,,GRCh37
cg01053349,Y,3446859,+,TGIF2LY,GRCh37
cg01061520,Y,9478342,-,,GRCh37
cg01073572,Y,16924422,+,NLGN4Y;NLGN4Y;NLGN4Y,GRCh37
cg01086462,Y,7429349,-,,GRCh37
cg01141334,Y,13477785,+,,GRCh37
cg01209756,Y,19671414,+,,GRCh37
cg01215343,Y,10034551,-,,GRCh37
cg01311227,Y,2709627,-,RPS4Y1;RPS4Y1,GRCh37
cg01375382,Y,2709598,+,RPS4Y1,GRCh37
cg01426558,Y,15015682,+,DDX3Y;DDX3Y,GRCh37
cg01463110,Y,14648161,+,,GRCh37
cg01498999,Y,16939383,-,NLGN4Y;NLGN4Y;NLGN4Y,GRCh37
cg01523029,Y,9234365,-,TSPY4,GRCh37
cg01644972,Y,22737556,-,EIF1AY,GRCh37
cg01707559,Y,6778695,+,TBL1Y;TBL1Y;TBL1Y,GRCh37
cg01757887,Y,25114810,-,TTTY4;TTTY4B;TTTY4C,GRCh37
cg01828798,Y,8571457,-,TTTY19,GRCh37
cg01882666,Y,17571429,+,,GRCh37
cg01900066,Y,22754881,+,EIF1AY,GRCh37
cg01911472,Y,6781164,+,TBL1Y;TBL1Y;TBL1Y,GRCh37
cg01943289,Y,22917296,+,RPS4Y2,GRCh37
cg01984154,Y,2718782,+,RPS4Y1,GRCh37
cg01988452,Y,22736528,-,EIF1AY,GRCh37
cg02002345,Y,6777855,+,TBL1Y;TBL1Y;TBL1Y,GRCh37
cg02004872,Y,15815552,+,TMSB4Y;TMSB4Y,GRCh37
cg02011394,Y,9194502,+,TSPY4,GRCh37
cg02012379,Y,22917894,-,RPS4Y2,GRCh37
cg02050847,Y,22918038,+,RPS4Y2;RPS4Y2,GRCh37
cg02056550,Y,8552374,+,TTTY18,GRCh37
cg02105393,Y,2804282,+,ZFY;ZFY;ZFY,GRCh37
cg02107461,Y,14103651,+,,GRCh37
cg02126249,Y,9194524,+,TSPY4,GRCh37
cg02129146,Y,7138198,+,,GRCh37
cg02233183,Y,16634382,+,NLGN4Y;NLGN4Y,GRCh37
